kHz ,Time(UTC),Days,ITU, Station ,Lng,Target, Remarks ,P,Start,Stop, Input     , Type ,Tone Out,Tone In, Alpha Tag , Mode , Tag ,County,City,Agency,Notes,Source,EchoLink(E),IRLP(I),WideArea(x),ARES(s)
35.060,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3506,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
35.120,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3512,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
35.140,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3512,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
47.660,,,,WQJG338 ,,,American Medical Response - Company Channel ,,,,,BM,,,SCZ AMR CO,FM ,EMS-Talk ,Santa Cruz,,Ambulance,,RadioReference,,,,
51.760,,,,WE6R,,,Coordinated,,,,51.260,,,,WE6R,FMN,Ham,,Monterey,,clrs,narcc.org,,,,
51.820,,,,WR6VHF,,,Not Coordinated,,,,51.320,,,136.5,CERT,FMN,Ham,,San Ardo,,#o136.5e,narcc.org,,,,
51.920,,,,KU6V,,,Coordinated,,,,51.420,,,114.8,KU6V,FMN,Ham,,Los Gatos,,o114.8elx,narcc.org,,,y,
52.580,,,,WA6VPL,,,Coordinated,,,,52.080,,,82.5,WA6VPL,FMN,Ham,,Nipomo,,o82.5el,narcc.org,,,,
52.580,,,,W6PIY,,,Coordinated,,,,52.080,,,151.4,WVARA,FMN,Ham,,San Jose,,o151.4aels,narcc.org,,,,y
52.600,,,,WA6VPL,,,Coordinated,,,,52.100,,,82.5,WA6VPL,FMN,Ham,,New Cuyama,,o82.5lx,narcc.org,,,y,
52.640,,,,WA6FUL,,,Coordinated,,,,52.140,,,114.8,WA6FUL,FMN,Ham,,Palo Alto,,o114.8elrsx,narcc.org,,,y,y
52.660,,,,KD6AOG,,,Not Coordinated,,,,52.160,,,127.3,KD6AOG,FMN,Ham,,San Jose,,#o127.3,narcc.org,,,,
52.800,,,,WR6AOK,,,Coordinated,,,,52.300,,,114.8,SLVARC,FMN,Ham,,Ben Lomond,,o114.8esx,narcc.org,,,y,y
52.940,,,,KG6HAT,,,Not Coordinated,,,,52.440,,,100.0,KG6HAT,FMN,Ham,,San Jose,,#o100.0,narcc.org,,,,
118.000,,,,,,,San Jose Clearance Delivery,,,,,,,,,,,,,SJC,,liveatc.net,,,,
