Low,High,Tune,Name,Type,Mode,Notes
135700,137800,,2200M Ham,HAM,CWL,Amateur Radio
150000,539999,,Long wave,SW,AM,Longwave broadcasting
540000,1700000,,AM Broadcast,SW,AM,
1700001,1799999,,Misc,OTHER,AM,Beacons and navigation aids
1800000,2000000,,160M Ham,HAM,LSB,Amateur Radio
2000001,2299999,2182000,Maritime Communications,OTHER,USB,
2300000,2495000,,120M SW,SW,AM,
2495001,2505000,2500000,WWV,SW,AM,
2505001,2850000,,Maritime Communications,OTHER,USB,
2850001,3150000,,Aeronautical,OTHER,USB,
3150001,3199999,,Fixed,OTHER,USB,Mostly RTTY
3200000,3400000,,90M SW,SW,AM,
3400001,3499999,,Aeronautical,OTHER,USB,
3500000,4000000,,80M Ham / 75M SW,HAM,LSB,Amateur Radio
4000001,4650000,,"Military, Marine, Fixed",OTHER,USB,
4650001,4749999,,Misc,OTHER,AM,
4750000,4995000,,60M SW,SW,AM,
4995001,5005000,5000000,WWV,SW,AM,
5005001,5330499,,Misc,OTHER,AM,
5330500,5403500,,60M Ham,HAM,LSB,Amateur Radio
5450001,5730000,,Aeronautical,OTHER,AM,
5730001,5949999,,Misc,OTHER,AM,
5950000,6200000,,49M SW,SW,AM,
6200001,6525000,,Maritime Communications,OTHER,USB,
6525001,6765000,,Aeronautical,OTHER,USB,
6765001,6999999,,Misc,OTHER,USB,
7000001,7300000,,40M Ham / 41M SW,HAM,LSB,Amateur Radio
7300001,8195000,,Fixed,OTHER,AM,
8195001,8815000,,Maritime Communications,OTHER,USB,
8815001,9040000,,Aeronautical,OTHER,AM,
9040001,9499999,,Fixed and SW Broadcast,SW,AM,
9500000,9950000,,31M SW,SW,AM,
9995001,10005000,10000000,WWV,SW,AM,
10005001,10099999,,Aeronautical,OTHER,AM,
10100000,10150000,,30M Ham,HAM,CWU,Amateur Radio
10150001,11649999,,Fixed,OTHER,AM,
11650000,11975000,,25M SW,SW,AM,
12330000,13199999,,Maritime Communications,OTHER,AM,
13200000,13359999,,Aeronautical,OTHER,USB,
13600000,13799999,,22M SW,SW,AM,
14000000,14350000,,20M Ham,HAM,USB,Amateur Radio
14990000,15009999,15000000,WWV,SW,AM,
15100000,15600000,,19M SW,SW,AM,
17550000,17900000,,16M SW,SW,AM,
17900001,18030000,,Aeronautical,OTHER,AM,
18068000,18168000,,17M Ham,HAM,USB,Amateur Radio
18900000,19020000,,15M SW,SW,AM,
19990000,20010000,20000000,WWV,SW,AM,
21000000,21450000,,15M Ham,HAM,USB,Amateur Radio
21450001,21850000,,13M SW,SW,AM,
24890000,24990000,,12M Ham,HAM,USB,Amateur Radio
25670000,26100000,,11M SW,SW,AM,
26965000,27405000,,CB,OTHER,AM,
28000000,29700000,,10M Ham,HAM,USB,Amateur Radio
50000000,54000000,,6M Ham,HAM,USB,Amateur Radio
54000001,72000000,,VHF TV (2-4),OTHER,FMN,
76000000,87999999,,VHF TV (5-6),OTHER,FMN,
88000000,108000000,,US FM Radio,SW,FM-Mono,
108000001,117950000,,Aviation Nav,OTHER,AM,
118000000,136000000,,Aviation Com,OTHER,AM,
138000000,143999999,,Gov - Mil,OTHER,FMN,
144000000,148000000,146000000,2M Ham,HAM,FMN,Amateur Radio
151000000,156250000,,"Police, Fire, Bus, MURS",SCANNER,FMN,
156250001,162000000,,Marine,SCANNER,FMN,
162000000,162399999,,Gov,SCANNER,FMN,
162400000,162550000,,NOAA Weather,SCANNER,FMN,
162550001,173999999,,Gov,SCANNER,FMN,
174000000,216000000,,VHF TV (7-13),OTHER,FMN,
216000001,219999999,,Maritime Mobile,SCANNER,FMN,
222000000,225000000,,1.25M Ham,HAM,FMN,Amateur Radio
225000001,329000000,,Gov,SCANNER,FMN,
420000000,450000000,,70cm Ham,HAM,FMN,Amateur Radio
450000001,470000000,,Police Fire Bus,SCANNER,FMN,
470000001,824999999,,UHF-TV (14-83),TV,FMN,
825000000,850000000,,Cell,OTHER,FMN,
870000000,895000000,,Cell,OTHER,FMN,
902000000,928000000,,33cm Ham,HAM,FMN,
928000001,932000000,,Paging,OTHER,FMN,
1240000000,1300000000,,23cm Ham,HAM,FMN,
2300000000,2310000000,,Ham special 1 Ham,HAM,FMN,
2390000000,2450000000,,Ham special 2 Ham,HAM,FMN,
3300000000,3500000000,,Ham special 3 Ham,HAM,FMN,
5650000000,5925000000,,Ham special 4 Ham,HAM,FMN,
