kHz:75,Time(UTC):93,Days:59,ITU:49,Station:20,Lng:49,Target:62,Remarks:135,P:35,Start:60,Stop:60
131500,,,,ACARS,,,,,,
146745,,,,W6JWS,,,,,,
145290,,,,W6TUW,,,,,,
146790,,,,K6BJ,,,,,,
151820,,,,MURS1,,,BW 11.25,,,
151880,,,,MURS2,,,BW 11.25,,,
151940,,,,MURS3,,,BW 11.25,,,
154570,,,,MURS4,,,BW 20.00,,,
154600,,,,MURS5,,,BW 20.00,,,
162400,,,,NOAA1,,,,,,
162425,,,,NOAA2,,,,,,
162450,,,,NOAA3,,,,,,
162475,,,,NOAA4,,,,,,
162500,,,,NOAA5,,,,,,
162525,,,,NOAA6,,,,,,
162550,,,,NOAA7,,,,,,
1090000,,,,ADS-B,,,,,,
