kHz,Time(UTC),Days,ITU, Station ,Lng,Target, Remarks ,P,Start,Stop, Input     , Type ,Tone Out,Tone In, Alpha Tag , Mode , Tag ,County,City,Agency,Notes,Source,EchoLink(E),IRLP(I),WideArea(x),ARES(s)
35060.000,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3506,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
35120.000,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3512,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
35140.000,,,,,,,Comcast Cable ,,,,,M,,,Comcast 3512,FM ,Business ,Santa Cruz,,Comcast Cable,,RadioReference,,,,
47660.000,,,,WQJG338 ,,,American Medical Response - Company Channel ,,,,,BM,,,SCZ AMR CO,FM ,EMS-Talk ,Santa Cruz,,Ambulance,,RadioReference,,,,
51760.000,,,,WE6R,,,Coordinated,,,,51.26,,,,WE6R,FMN,Ham,,Monterey,,clrs,narcc.org,,,,
51820.000,,,,WR6VHF,,,Not Coordinated,,,,51.32,,,136.5,CERT,FMN,Ham,,San Ardo,,#o136.5e,narcc.org,,,,
51920.000,,,,KU6V,,,Coordinated,,,,51.42,,,114.8,KU6V,FMN,Ham,,Los Gatos,,o114.8elx,narcc.org,,,y,
52580.000,,,,WA6VPL,,,Coordinated,,,,52.08,,,82.5,WA6VPL,FMN,Ham,,Nipomo,,o82.5el,narcc.org,,,,
52580.000,,,,W6PIY,,,Coordinated,,,,52.08,,,151.4,WVARA,FMN,Ham,,San Jose,,o151.4aels,narcc.org,,,,y
52600.000,,,,WA6VPL,,,Coordinated,,,,52.1,,,82.5,WA6VPL,FMN,Ham,,New Cuyama,,o82.5lx,narcc.org,,,y,
52640.000,,,,WA6FUL,,,Coordinated,,,,52.14,,,114.8,WA6FUL,FMN,Ham,,Palo Alto,,o114.8elrsx,narcc.org,,,y,y
52660.000,,,,KD6AOG,,,Not Coordinated,,,,52.16,,,127.3,KD6AOG,FMN,Ham,,San Jose,,#o127.3,narcc.org,,,,
52800.000,,,,WR6AOK,,,Coordinated,,,,52.3,,,114.8,SLVARC,FMN,Ham,,Ben Lomond,,o114.8esx,narcc.org,,,y,y
52940.000,,,,KG6HAT,,,Not Coordinated,,,,52.44,,,100,KG6HAT,FMN,Ham,,San Jose,,#o100.0,narcc.org,,,,
118000.000,,,,,,,San Jose Clearance Delivery,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
118200.000,,,,,,,SFO Clearance Delivery,,,,,,,,,,Air,,,SFO,flightaware.com,liveatc.net,,,,
118300.000,,,,,,,"Oakland Tower (Runways 27L/9R, 27R/9L, 33/15, righ",,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
120100.000,,,,,,,"NORCAL Approach ""LICKE"" SJC Final",,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
120100.000,,,,,,,"NORCAL Approach ""LICKE"" SJC Final",,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
120350.000,,,,,,,Norcal Approach - Foster,,,,,,,,,,Air,,,SFO,airnav.com,liveatc.net,,,,
120500.000,,,,,,,SFO Tower,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120825.000,,,,,,,Beaver Control W-260,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120900.000,,,,,,,Norcal Approach - NW,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120900.000,,,,,,,Norcal Departure,,,,,,,,,,Air,,,SFO,,liveatc.net,,,,
120900.000,,,,,,,NORCAL Departure (Northeast Departures),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
121100.000,,,,,,,Oakland Clearance Delivery (left channel),,,,,,,,,,Air,,,OAK,,liveatc.net,,,,
121300.000,,,,,,,"NORCAL Approach ""TOGA""",,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121300.000,,,,,,,NORCAL Departure,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121500.000,,,,,,,Emergency/Guard,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
121500.000,,,,,,,Emergency/Guard,,,,,,,,,,Air,,,SJC,,liveatc.net,,,,
